nombre,artistas,album,fecha_lanzamiento,popularidad,explicit,imagen_url,spotify_url,generos,contenido
Ordinary,Alex Warren,"You'll Be Alright, Kid (Chapter 1)",2024-09-26,94,False,https://i.scdn.co/image/ab67616d0000b2731648716c6562145bea491cb6,https://open.spotify.com/track/2RkZ5LkEzeHGRsmDqKwmaJ,," Alex Warren You'll Be Alright, Kid (Chapter 1) False"
Die With A Smile,"Lady Gaga, Bruno Mars",MAYHEM,2025-03-07,91,False,https://i.scdn.co/image/ab67616d0000b273b0860cf0a98e09663c82290c,https://open.spotify.com/track/7so0lgd0zP2Sbgs2d7a1SZ,"art pop, pop","art pop, pop Lady Gaga, Bruno Mars MAYHEM False"
BIRDS OF A FEATHER,Billie Eilish,HIT ME HARD AND SOFT,2024-05-17,100,False,https://i.scdn.co/image/ab67616d0000b27371d62ea7ea8a5be92d3c1f62,https://open.spotify.com/track/6dOtVTDdiauQNBQEDOtlAB,, Billie Eilish HIT ME HARD AND SOFT False
back to friends,sombr,back to friends,2024-12-27,96,False,https://i.scdn.co/image/ab67616d0000b2739d24f74c1e2d8a12b1e591ec,https://open.spotify.com/track/0FTmksd2dxiE5e3rWyJXs6,, sombr back to friends False
APT.,"ROSÉ, Bruno Mars",rosie,2024-12-06,90,False,https://i.scdn.co/image/ab67616d0000b2735074bd0894cb1340b8d8a678,https://open.spotify.com/track/4wJ5Qq0jBN4ajy7ouZIV1c,k-pop,"k-pop ROSÉ, Bruno Mars rosie False"
La Plena - W Sound 05,"W Sound, Beéle, Ovy On The Drums",La Plena (W Sound 05),2025-02-19,94,True,https://i.scdn.co/image/ab67616d0000b2734740100d84f3667f1eae6870,https://open.spotify.com/track/6iOndD4OFo7GkaDypWQIou,," W Sound, Beéle, Ovy On The Drums La Plena (W Sound 05) True"
Don’t Say You Love Me,Jin,Echo,2025-05-16,88,False,https://i.scdn.co/image/ab67616d0000b27389228504f700641956e29f5d,https://open.spotify.com/track/27xkOIER6uDLKALIelHylZ,k-pop,k-pop Jin Echo False
DtMF,Bad Bunny,DeBÍ TiRAR MáS FOToS,2025-01-05,97,True,https://i.scdn.co/image/ab67616d0000b273bbd45c8d36e0e045ef640411,https://open.spotify.com/track/3sK8wGT43QFpWrvNQsrQya,"reggaeton, trap latino, urbano latino, latin","reggaeton, trap latino, urbano latino, latin Bad Bunny DeBÍ TiRAR MáS FOToS True"
undressed,sombr,undressed,2025-03-21,95,False,https://i.scdn.co/image/ab67616d0000b273dad39d4906f76b7c176effb1,https://open.spotify.com/track/4AajxCEwGEsmHmT4H1TwjY,, sombr undressed False
Mangu,"Fourtwnty, Charita Utami",Nalar,2023-04-18,86,False,https://i.scdn.co/image/ab67616d0000b27332ab17f5515e51490841f648,https://open.spotify.com/track/4e6TmHCC4PRUj75knNplNP,"indonesian indie, indonesian pop, indie","indonesian indie, indonesian pop, indie Fourtwnty, Charita Utami Nalar False"
